Sun Scar,2 ~ 3,Fire,Max Hp & Agi & Luck * 90% -  Element Rate Fire * 130% - Element Rate Water * 80%,,,,,,,,,,,,,,,,,
Moonblight,2 ~ 3,Null Element,M.Atk * 90% - Mgc Dmg * 90% - M.Def & Max Mp * 85% - Luck * 80% - Mp Rgn -5% - Element Rate Light & Darkness * 130%,,,,,,,,,,,,,,,,,
Shifting Warp,2 ~ 4,Null Element,Eva -15% - Hit -10% - Mp Rgn & Hp Rgn -5% - Tp Charge Rate * 120% - M.Def & Atk * 95% - M.Atk * 105%,,,,,,,,,,,,,,,,,
Hellfire,2 ~ 4,Darkness + Fire,Element Rate Fire & Darkness * 150% - Element Rate Water * 90% - Element Rate Ice * 80% Mgc Eva & Eva -10% - Crit Eva -5% -  Burn * 50% - Melt * 20%,,,,,,,,,,,,,,,,,
Damaged Soul,2 ~ 4,Darkness,MP Rgn -30% - HP Rgn -15% - Def & M.Def * 90% - Fear & Confusion * 20%,,,,,,,,,,,,,,,,,
Elemental Wound,2 ~ 4,Null Element,Element Rate All except Light And Darkness * 150% - Burn & Chill & Poison * 15% - Max Hp & Mp * 90%,,,,,,,,,,,,,,,,,
Accuracy Down,2 ~ 3,Null Element,Hit - 10%,,,,,,,,,,,,,,,,,
Attack Down,2 ~ 3,Null Element,Atk * 90%,,,,,,,,,,,,,,,,,
Defense Down,2 ~ 3,Null Element,Def * 90%,,,,,,,,,,,,,,,,,
Magic Attack Down,2 ~ 3,Null Element,M.Atk * 90%,,,,,,,,,,,,,,,,,
Magic Defense Down,2 ~ 3,Null Element,M.Def * 90%,,,,,,,,,,,,,,,,,
Evasion Down,2 ~ 3,Null Element,Eva - 10%,,,,,,,,,,,,,,,,,
Agility Down,2 ~ 3,Null Element,Crit * 5% -  Agi * 90%,,,,,,,,,,,,,,,,,
Stun,1 ~ 1,Physical,"Stuns the target, success rate 43%",,,,,,,,,,,,,,,,,
Dark Ailment,2 ~ 3,Darkness,Hit & Mgc Eva -5% - Recov * 80%,,,,,,,,,,,,,,,,,
Heavy Bleed,1 ~ 2,Physical,var damage = Math.floor(this.mhp * 0.09); this.gainHp(-damage); - Bleed,,,,,,,,,,,,,,,,,
Weakened,2 ~ 2,Darkness,Def * 120% - Luck * 90%,,,,,,,,,,,,,,,,,
Dizzyness,2 ~ 3,Darkness,Phys & Max Hp & M.Def * 90% - Hit -10%,,,,,,,,,,,,,,,,,
Manifestations,2 ~ 3,Darkness,Crit & M.Eva -10% - Hp Rgn -3% - Darkness * 115%,,,,,,,,,,,,,,,,,
Magic Evasion Down,2 ~ 3,Null Element,M.Eva -15%,,,,,,,,,,,,,,,,,
Scorched,2 ~ 3,Fire,"Damage over time, reduces water resistance",,,,,,,,,,,,,,,,,
Dehydrated,2 ~ 3,Fire,Lowers max HP and agility,,,,,,,,,,,,,,,,,
Time Warp,2 ~ 3,Null Element,Random stat changes each turn,,,,,,,,,,,,,,,,,
Desert Fever,2 ~ 3,Earth,Lowers accuracy and increases damage taken,,,,,,,,,,,,,,,,,
Quicksand Grip,2 ~ 3,Earth,Decreases agility and chance to be immobilized each turn,,,,,,,,,,,,,,,,,
Sunblind,2 ~ 3,Fire,Decreases accuracy and evasion,,,,,,,,,,,,,,,,,
Time Fracture,2 ~ 3,Null Element,Actions have a chance to fail,,,,,,,,,,,,,,,,,
Volcanic Instability,2 ~ 3,Fire,Randomly increases or decreases magic attack each turn,,,,,,,,,,,,,,,,,
Ash Cloud,2 ~ 3,Earth,Decreases accuracy and evasion for all battlers,,,,,,,,,,,,,,,,,
Lava Flow,2 ~ 3,Fire,"Damage over time, chance to be immobilized each turn",,,,,,,,,,,,,,,,,
Crystallized,2 ~ 3,Earth,"Decreases agility, but increases defense",,,,,,,,,,,,,,,,,
Dragonfire,2 ~ 3,Fire,"Damage over time, spreads to nearby allies each turn",,,,,,,,,,,,,,,,,
Hypothermia,2 ~ 3,Ice,Gradually decreases HP and lowers agility,,,,,,,,,,,,,,,,,
Frozen Solid,2 ~ 3,Ice,"Cannot act, but greatly increases defense",,,,,,,,,,,,,,,,,
Soul Freeze,2 ~ 3,Darkness,Prevents MP regeneration and increases MP costs,,,,,,,,,,,,,,,,,
Demonic Possession,2 ~ 3,Darkness,Randomly forces unit to attack allies,,,,,,,,,,,,,,,,,
Soulbound,1~2,Darkness,Shares damage taken with the caster,,,,,,,,,,,,,,,,,
Abyssal Curse,2 ~ 3,Darkness,Reduces max HP and healing received,,,,,,,,,,,,,,,,,
Void Touched,2 ~ 3,Darkness,Randomly nullifies buffs or healing,,,,,,,,,,,,,,,,,
Memory Lapse,2 ~ 3,Light,Randomly prevents the use of skills or items,,,,,,,,,,,,,,,,,
Light Siphon,2 ~ 3,Light,Converts a portion of healing received into damage,,,,,,,,,,,,,,,,,
Elemental Chaos,2 ~ 3,Null Element,Randomly changes the target's elemental weaknesses each turn,,,,,,,,,,,,,,,,,
Cosmic Drain,2 ~ 3,Null Element,Gradually decreases all stats over time,,,,,,,,,,,,,,,,,
Soul Shatter,2 ~ 3,Null Element,Prevents the use of special abilities and reduces max HP,,,,,,,,,,,,,,,,,
Reality Warp,2 ~ 3,Null Element,Randomly changes the target's equipment effects each turn,,,,,,,,,,,,,,,,,
Void Corruption,2 ~ 3,Darkness,Decreases healing effects and gradually drains MP,,,,,,,,,,,,,,,,,
Covetous Gaze,2 ~ 3,Darkness,Reduces the effectiveness of healing and item use,,,,,,,,,,,,,,,,,
Avaricious Aura,2 ~ 3,Darkness,Reduces the effectiveness of healing and item use,,,,,,,,,,,,,,,,,
Insatiable Hunger,2 ~ 3,Darkness,Gradually decreases max HP and increases damage taken,,,,,,,,,,,,,,,,,
Entropic Lethargy,2 ~ 3,Darkness,Drastically slows action speed and increases skill cooldowns,,,,,,,,,,,,,,,,,
Seductive Charm,2 ~ 3,Darkness,Chance to waste turn attacking allies or using items on enemies,,,,,,,,,,,,,,,,,
Overwhelming Pride,2 ~ 3,Darkness,Increases damage taken from critical hits and weakness exploitation,,,,,,,,,,,,,,,,,
Blinding Arrogance,2 ~ 3,Darkness,"Decreases accuracy and evasion, increases damage from back attacks",,,,,,,,,,,,,,,,,
Chaotic Brilliance,2 ~ 3,Darkness,Randomly enhances or diminishes the power of skills used,,,,,,,,,,,,,,,,,
Temporal Decay,2 ~ 3,Darkness,Gradually decreases all stats over time,,,,,,,,,,,,,,,,,
Void Consumption,2 ~ 3,Darkness,Absorbs a portion of healing and buffs applied to nearby allies,,,,,,,,,,,,,,,,,
Primordial Instability,2 ~ 3,Darkness,Randomly changes elemental affinity and weaknesses each turn,,,,,,,,,,,,,,,,,
Corrupted Divinity,2 ~ 3,Darkness,"Converts a portion of light-based healing into damage Now, let's create the next batch of enemies with their unique states:",,,,,,,,,,,,,,,,,
Conceptual Erasure,2 ~ 3,Null Element,Nullifies one random ability of the target each turn,,,,,,,,,,,,,,,,,
Existential Drain,2 ~ 3,Null Element,"Continuously drains HP, MP, and all stats",,,,,,,,,,,,,,,,,
